run,state,unit,max_absolute,rms,final,max_relative_excluding_initial
atol-1e-13,p_c,mmHg,7.179927052902713e-08,4.8967213330589825e-09,0.9010903498868789,2.713298061798018e-09
atol-1e-13,z,source-labelled dimensionless; unresolved,7.155887861431953e-12,1.4405707258201213e-12,0.0012196803557103298,1.7856942328416565e-09
source-default,V_A,litre,1.0031203361293706e-05,4.202578330778638e-06,2.2843901289743207,3.893163015949696e-06
source-default,P_A,mmHg,1.215677070831589e-05,4.837462269410337e-06,757.2974947020064,1.6043210749037106e-08
source-default,f_o,dimensionless,3.812441451145343e-07,1.50714415605939e-07,0.20983855541868937,2.0062055501409806e-06
source-default,f_c,dimensionless,2.742001431691593e-07,1.0823864241795935e-07,0.00013510705360474898,7.018419182458477e-05
source-default,p_o,mmHg,0.0015066115510222744,0.0001760945980915347,149.04631027003884,1.7566684170134674e-05
source-default,p_c,mmHg,0.00023460505216377214,3.9670727317302174e-05,0.901080896465979,1.140920589175271e-05
source-default,z,source-labelled dimensionless; unresolved,3.880195077656662e-08,1.4176000591037294e-08,0.0012196719005809393,3.740220278017013e-05
source-tight,V_A,litre,7.612888097696668e-11,2.2751319685963703e-11,2.284388431446858,3.0268456647900385e-11
source-tight,P_A,mmHg,1.6211743059102446e-10,4.873182078583259e-11,757.2974945477619,2.139532816919979e-13
source-tight,f_o,dimensionless,5.476952225080822e-12,2.205576273728255e-12,0.2098385433861219,3.136577352100707e-11
source-tight,f_c,dimensionless,3.921869773382269e-12,1.5778074060588823e-12,0.00013511551780283432,3.696325025939034e-10
source-tight,p_o,mmHg,5.096946154026227e-08,5.290470987288883e-09,149.04629088679184,5.487535154916699e-10
source-tight,p_c,mmHg,1.1318732617837668e-08,1.3236008499910322e-09,0.901090349770969,3.901389534985847e-10
source-tight,z,source-labelled dimensionless; unresolved,5.712609205121844e-13,3.6511877927583716e-13,0.0012196803555680525,3.8274039125483495e-10
RK45,V_A,litre,4.2592951388087386e-10,1.5461576701957024e-10,2.2843884316498038,2.039817987974771e-10
RK45,P_A,mmHg,1.0687699614209123e-09,1.832722377984809e-10,757.2974945480063,1.4099380878954312e-12
RK45,f_o,dimensionless,1.0984518850065683e-11,8.322380017125961e-13,0.20983854338613692,7.141364255364183e-11
RK45,f_c,dimensionless,7.942889401757469e-12,5.864431657093327e-13,0.00013511551784364448,1.9727569078923168e-10
RK45,p_o,mmHg,3.191260645962757e-06,1.3232756642556578e-06,149.0462899355373,2.1439969065552444e-08
RK45,p_c,mmHg,1.4681941706840007e-07,1.7027882914899597e-08,0.9010903499769236,6.046027985737136e-09
RK45,z,source-labelled dimensionless; unresolved,2.0307988824646087e-12,2.366045204289251e-13,0.001219680355719917,2.8762583269181095e-08
refinement,V_A,litre,7.068567953183447e-12,3.1136136165561332e-12,2.2843884314420135,2.81868410792237e-12
refinement,P_A,mmHg,1.8189894035458565e-11,4.454431653555488e-12,757.297494547757,2.4005332430769568e-14
refinement,f_o,dimensionless,8.784639682346551e-14,1.7880660672985594e-14,0.20983854338606311,4.781272360792318e-13
refinement,f_c,dimensionless,6.373720995433985e-14,1.2889545716566646e-14,0.00013511551784658814,4.802814978360402e-12
refinement,p_o,mmHg,6.338041202980094e-11,1.2843951838674554e-11,149.04629088422269,4.860096291736459e-13
refinement,p_c,mmHg,1.9447554677753942e-11,4.3819402022871745e-12,0.901090349890399,1.585128738157278e-12
refinement,z,source-labelled dimensionless; unresolved,1.4649739754624136e-14,2.3775203183501278e-15,0.0012196803557137919,2.3385225664041344e-12
